Rank,Batsman,In Strength,PageRank Score,Batting Average
517,Z Khan,4.63455,0.00048,3.65625
518,MJ McClenaghan,3.53437,0.00046,3.54167
519,SL Malinga,3.40881,0.00046,3.52
520,Vijaykumar Vyshak,0.62736,0.00044,3.5
521,SB Jakati,1.28814,0.00044,3.5
522,AN Ghosh,0.29382,0.00044,3.5
523,IS Sodhi,0.28105,0.00044,3.5
524,FA Allen,0.51389,0.00044,3.5
525,M Theekshana,0.35198,0.00044,3.5
526,VS Malik,0.32907,0.00044,3.5
527,Parvez Rasool,0.73752,0.00044,3.4
528,DR Sams,1.5103,0.00045,3.38462
529,AG Murtaza,0.38211,0.00044,3.33333
530,R Sharma,2.83029,0.00046,3.3
531,A Nortje,2.00861,0.00045,3.26667
532,JR Hazlewood,0.83175,0.00044,3.16667
533,KL Nagarkoti,0.78049,0.00044,3.14286
534,TA Boult,3.26636,0.00046,3.07407
535,KMA Paul,0.78805,0.00044,3.0
536,Naveen-ul-Haq,0.82072,0.00044,3.0
537,Karanveer Singh,0.59473,0.00044,3.0
538,JP Behrendorff,0.25564,0.00044,3.0
539,A Zampa,0.67602,0.00044,3.0
540,BA Bhatt,0.26714,0.00044,3.0
541,Harmeet Singh,0.69346,0.00044,3.0
542,VY Mahesh,0.56818,0.00044,3.0
543,SB Joshi,0.20667,0.00044,3.0
544,T Thushara,0.54359,0.00044,3.0
545,PV Tambe,0.70538,0.00044,3.0
546,R Ninan,0.11848,0.00044,3.0
547,Mukesh Choudhary,0.48611,0.00044,3.0
548,RJW Topley,0.12437,0.00044,3.0
549,D Kalyankrishna,0.09008,0.00044,3.0
550,Younis Khan,0.11587,0.00044,3.0
551,Mohammed Shami,3.18866,0.00046,2.96
552,G Coetzee,0.63421,0.00044,2.8
553,SK Trivedi,1.70792,0.00045,2.8
554,T Kohli,0.40866,0.00044,2.75
555,M Ashwin,1.31803,0.00045,2.69231
556,TM Srivastava,0.39401,0.00044,2.66667
557,S Badree,0.47125,0.00044,2.6
558,MM Patel,1.90467,0.00045,2.6
559,C Sakariya,0.94773,0.00044,2.5
560,Shivam Sharma,0.27093,0.00044,2.5
561,J Theron,0.42967,0.00044,2.5
562,RK Bhui,0.44258,0.00044,2.5
563,SMSM Senanayake,0.36651,0.00044,2.5
564,S Sreesanth,1.3966,0.00045,2.42857
565,Arshdeep Singh,1.14985,0.00044,2.41667
566,L Balaji,1.40316,0.00045,2.4
567,Ankit Soni,0.30417,0.00044,2.33333
568,Simarjeet Singh,0.29619,0.00044,2.33333
569,JJ Bumrah,2.69561,0.00046,2.26667
570,M Muralitharan,0.79502,0.00044,2.22222
571,Ravi Bishnoi,1.24731,0.00045,2.13333
572,CV Varun,1.06866,0.00044,2.08333
573,A Kumble,1.54033,0.00045,2.05882
