bowler,batsman,times
M Kartik,CL White,1
CRD Fernando,MV Boucher,1
CRD Fernando,Misbah-ul-Haq,1
CRD Fernando,SP Goswami,1
DR Smith,CL White,1
DR Smith,R Dravid,1
DR Smith,B Akhil,1
CRD Fernando,R Vinay Kumar,1
CRD Fernando,P Kumar,1
S Sreesanth,J Arunkumar,1
S Sreesanth,Misbah-ul-Haq,1
PP Chawla,V Kohli,3
PP Chawla,CL White,1
IK Pathan,R Dravid,1
S Sreesanth,P Kumar,1
VRV Singh,R Vinay Kumar,1
IK Pathan,MV Boucher,1
Sohail Tanvir,J Arunkumar,1
MM Patel,Misbah-ul-Haq,1
Sohail Tanvir,V Kohli,1
MM Patel,CL White,1
SK Warne,DT Patil,1
SK Warne,P Kumar,1
SK Warne,Z Khan,1
Sohail Tanvir,A Kumble,1
GD McGrath,B Chipli,1
MF Maharoof,JH Kallis,1
TM Dilshan,R Dravid,1
MF Maharoof,SP Goswami,1
MF Maharoof,CL White,1
MF Maharoof,B Akhil,1
MS Gony,JH Kallis,2
MS Gony,SP Goswami,1
M Muralitharan,V Kohli,2
L Balaji,Misbah-ul-Haq,1
JA Morkel,MV Boucher,1
JA Morkel,R Dravid,1
JA Morkel,P Kumar,1
JA Morkel,R Vinay Kumar,1
RP Singh,B Chipli,1
PP Ojha,W Jaffer,1
PP Ojha,JH Kallis,2
RP Singh,V Kohli,2
Shahid Afridi,Misbah-ul-Haq,1
RP Singh,MV Boucher,1
SB Styris,P Kumar,1
SB Styris,R Dravid,2
AD Mascarenhas,JD Ryder,1
AD Mascarenhas,LRPL Taylor,1
AD Mascarenhas,RV Uthappa,1
T Henderson,KP Pietersen,1
SK Warne,V Kohli,1
SK Warne,B Akhil,1
MM Patel,P Kumar,1
MM Patel,R Dravid,1
MS Gony,P Kumar,1
JA Morkel,JH Kallis,2
A Flintoff,LRPL Taylor,1
M Muralitharan,KP Pietersen,1
M Muralitharan,RV Uthappa,1
Joginder Sharma,V Kohli,1
M Muralitharan,R Bishnoi,1
L Balaji,R Vinay Kumar,1
M Muralitharan,DW Steyn,1
L Balaji,R Dravid,1
FH Edwards,JD Ryder,1
RP Singh,JH Kallis,3
SB Styris,RV Uthappa,1
PP Ojha,KP Pietersen,1
Harmeet Singh,R Bishnoi,1
SB Styris,KV Sharma,1
IK Pathan,RV Uthappa,2
YA Abdulla,JD Ryder,1
YA Abdulla,KP Pietersen,1
PP Chawla,R Dravid,1
YA Abdulla,JH Kallis,1
VRV Singh,V Kohli,1
YA Abdulla,LRPL Taylor,1
IK Pathan,P Kumar,1
IK Pathan,Pankaj Singh,1
DP Nannes,JH Kallis,1
A Nehra,RV Uthappa,2
DL Vettori,KP Pietersen,1
A Mishra,LRPL Taylor,1
PJ Sangwan,MV Boucher,2
A Nehra,R Vinay Kumar,1
BJ Hodge,SP Goswami,1
I Sharma,JH Kallis,1
BJ Hodge,V Kohli,1
BJ Hodge,KP Pietersen,1
I Sharma,RE van der Merwe,1
IK Pathan,JD Ryder,1
YA Abdulla,R Bishnoi,1
YA Abdulla,SP Goswami,1
Yuvraj Singh,RV Uthappa,1
Yuvraj Singh,JH Kallis,1
Yuvraj Singh,MV Boucher,1
YA Abdulla,RE van der Merwe,1
YA Abdulla,A Kumble,1
Z Khan,W Jaffer,1
A Singh,W Jaffer,1
MM Patel,JH Kallis,1
LA Carseldine,R Dravid,1
RA Jadeja,RV Uthappa,1
RA Jadeja,MV Boucher,1
A Singh,RE van der Merwe,1
M Morkel,P Kumar,1
A Singh,D du Preez,1
A Singh,R Vinay Kumar,2
DJ Bravo,JH Kallis,1
DS Kulkarni,RV Uthappa,1
C Nanda,V Kohli,1
SL Malinga,LRPL Taylor,1
Harbhajan Singh,RE van der Merwe,1
Harbhajan Singh,R Vinay Kumar,1
M Kartik,JH Kallis,1
AB Agarkar,JD Ryder,1
M Kartik,RV Uthappa,1
BAW Mendis,R Dravid,1
S Tyagi,R Dravid,1
JA Morkel,RV Uthappa,1
L Balaji,V Kohli,3
M Muralitharan,MV Boucher,1
L Balaji,RE van der Merwe,1
JDP Oram,B Akhil,1
JDP Oram,LRPL Taylor,1
Y Nagar,R Dravid,1
Y Nagar,LRPL Taylor,1
A Symonds,RE van der Merwe,1
PP Ojha,R Dravid,2
PP Ojha,LRPL Taylor,2
JA Morkel,RE van der Merwe,1
SB Jakati,MK Pandey,1
M Muralitharan,R Dravid,2
PP Ojha,MK Pandey,1
PP Ojha,RE van der Merwe,1
Harmeet Singh,R Dravid,1
A Symonds,LRPL Taylor,1
A Symonds,V Kohli,1
Harmeet Singh,MV Boucher,1
PP Ojha,P Kumar,1
RJ Harris,R Vinay Kumar,2
CK Langeveldt,SP Goswami,1
AD Mathews,MK Pandey,1
M Kartik,V Kohli,1
M Kartik,EJG Morgan,1
AD Mathews,R Dravid,2
AD Mathews,RV Uthappa,1
AD Mathews,RE van der Merwe,1
PP Chawla,MK Pandey,1
Bipul Sharma,RV Uthappa,1
Harbhajan Singh,MK Pandey,1
Z Khan,RV Uthappa,1
L Balaji,JH Kallis,1
M Muralitharan,MK Pandey,1
JA Morkel,EJG Morgan,1
A Mishra,JH Kallis,1
AB McDonald,MK Pandey,1
AB McDonald,R Dravid,1
A Mishra,RV Uthappa,1
AB McDonald,EJG Morgan,1
DP Nannes,R Vinay Kumar,1
UT Yadav,P Kumar,1
AB McDonald,DW Steyn,1
T Thushara,MK Pandey,1
SB Jakati,RV Uthappa,1
SB Jakati,V Kohli,2
SB Jakati,JH Kallis,1
SJ Srivastava,JH Kallis,1
Bipul Sharma,MK Pandey,1
Bipul Sharma,V Kohli,1
A Mishra,CL White,1
PJ Sangwan,KP Pietersen,1
PJ Sangwan,RV Uthappa,1
R Bhatia,LRPL Taylor,1
PJ Sangwan,JH Kallis,1
MF Maharoof,V Kohli,1
DL Vettori,R Vinay Kumar,1
A Mishra,R Dravid,1
A Mishra,A Mithun,1
RJ Harris,MK Pandey,2
A Symonds,RV Uthappa,1
MR Marsh,JH Kallis,1
RJ Harris,V Kohli,2
AB Dinda,JH Kallis,1
AB Dinda,S Sriram,1
A Symonds,R Dravid,1
RP Singh,LRPL Taylor,1
PP Ojha,V Kohli,1
RP Singh,CL White,1
Harmeet Singh,RV Uthappa,1
Harmeet Singh,DW Steyn,1
RJ Harris,KP Appanna,1
Kamran Khan,JH Kallis,1
SK Trivedi,MK Pandey,1
SK Warne,RV Uthappa,1
Kamran Khan,KP Pietersen,1
SK Trivedi,V Kohli,2
CRD Fernando,MK Pandey,1
R McLaren,JH Kallis,1
Harbhajan Singh,KP Pietersen,2
KA Pollard,RV Uthappa,2
CRD Fernando,LRPL Taylor,1
Z Khan,DW Steyn,1
KA Pollard,V Kohli,3
KA Pollard,Pankaj Singh,1
SL Malinga,JH Kallis,1
KA Pollard,R Dravid,1
KA Pollard,MK Pandey,1
Harbhajan Singh,P Kumar,1
SL Malinga,R Vinay Kumar,1
CRD Fernando,DW Steyn,1
R Sharma,JH Kallis,1
S Sreesanth,TM Dilshan,1
R Vinay Kumar,V Kohli,1
RA Jadeja,MA Agarwal,1
RV Gomez,SS Tiwary,1
SL Malinga,MA Agarwal,1
SL Malinga,AUK Pathan,1
I Sharma,TM Dilshan,2
DW Steyn,Z Khan,2
MS Gony,MA Agarwal,1
MS Gony,AB de Villiers,1
A Mishra,SS Tiwary,1
DW Steyn,CA Pujara,1
DW Steyn,JJ van der Wath,1
MS Gony,V Kohli,1
DT Christian,R Ninan,1
JA Morkel,TM Dilshan,1
TG Southee,AUK Pathan,1
R Ashwin,MA Agarwal,3
S Randiv,SS Tiwary,1
S Randiv,CA Pujara,1
JA Morkel,AB de Villiers,2
L Balaji,TM Dilshan,1
AB Dinda,TM Dilshan,2
JR Hopes,CH Gayle,1
UT Yadav,AB de Villiers,2
M Morkel,V Kohli,3
Y Nagar,CA Pujara,1
