batsman,bowler,runs
B Sai Sudharsan,M Markande,19
B Sai Sudharsan,Fazalhaq Farooqi,2
Shubman Gill,Abhishek Sharma,11
B Sai Sudharsan,Abhishek Sharma,1
R Tewatia,Fazalhaq Farooqi,2
MD Shanaka,Fazalhaq Farooqi,2
MD Shanaka,T Natarajan,6
Noor Ahmad,B Kumar,0
MD Shanaka,B Kumar,1
Mohammed Shami,B Kumar,0
MM Sharma,B Kumar,0
WP Saha,WD Parnell,5
Shubman Gill,WD Parnell,20
V Shankar,WD Parnell,15
Shubman Gill,Vijaykumar Vyshak,18
V Shankar,Vijaykumar Vyshak,18
V Shankar,H Sharma,8
Shubman Gill,H Sharma,20
V Shankar,HV Patel,8
Shubman Gill,MG Bracewell,16
V Shankar,Mohammed Siraj,16
MD Shanaka,Vijaykumar Vyshak,0
MD Shanaka,HV Patel,0
DA Miller,Vijaykumar Vyshak,3
HH Pandya,TU Deshpande,19
HH Pandya,DL Chahar,2
HH Pandya,M Theekshana,1
Shubman Gill,M Theekshana,17
MD Shanaka,M Theekshana,15
MD Shanaka,RA Jadeja,2
R Tewatia,M Theekshana,2
V Shankar,M Pathirana,2
Rashid Khan,M Pathirana,13
Rashid Khan,TU Deshpande,15
DG Nalkande,M Pathirana,0
Noor Ahmad,M Pathirana,7
Mohammed Shami,TU Deshpande,4
Mohammed Shami,M Pathirana,1
WP Saha,C Green,2
Shubman Gill,CJ Jordan,18
WP Saha,PP Chawla,0
B Sai Sudharsan,PP Chawla,24
B Sai Sudharsan,C Green,22
B Sai Sudharsan,Akash Madhwal,3
B Sai Sudharsan,CJ Jordan,16
B Sai Sudharsan,JP Behrendorff,5
HH Pandya,CJ Jordan,12
B Sai Sudharsan,M Theekshana,16
B Sai Sudharsan,M Pathirana,38
B Sai Sudharsan,DL Chahar,11
WP Saha,HH Pandya,14
Shubman Gill,HH Pandya,6
WP Saha,L Wood,1
Shubman Gill,L Wood,5
Shubman Gill,SZ Mulani,18
B Sai Sudharsan,SZ Mulani,4
Azmatullah Omarzai,PP Chawla,10
Azmatullah Omarzai,SZ Mulani,1
B Sai Sudharsan,Naman Dhir,8
Azmatullah Omarzai,Naman Dhir,5
B Sai Sudharsan,G Coetzee,10
Azmatullah Omarzai,G Coetzee,1
B Sai Sudharsan,JJ Bumrah,1
DA Miller,G Coetzee,9
B Sai Sudharsan,HH Pandya,8
DA Miller,HH Pandya,2
V Shankar,JJ Bumrah,3
R Tewatia,L Wood,17
R Tewatia,G Coetzee,0
Rashid Khan,G Coetzee,4
V Shankar,G Coetzee,3
WP Saha,Mustafizur Rahman,9
B Sai Sudharsan,DJ Mitchell,27
V Shankar,DJ Mitchell,2
DA Miller,DJ Mitchell,7
B Sai Sudharsan,Mustafizur Rahman,6
DA Miller,TU Deshpande,4
Azmatullah Omarzai,TU Deshpande,5
Azmatullah Omarzai,RA Jadeja,3
Azmatullah Omarzai,DL Chahar,2
Azmatullah Omarzai,M Pathirana,1
R Tewatia,M Pathirana,5
UT Yadav,Mustafizur Rahman,2
UT Yadav,M Pathirana,8
SH Johnson,Mustafizur Rahman,4
SH Johnson,M Pathirana,1
WP Saha,JD Unadkat,9
Shubman Gill,JD Unadkat,2
DA Miller,M Markande,17
B Sai Sudharsan,PJ Cummins,9
DA Miller,PJ Cummins,13
B Sai Sudharsan,JD Unadkat,6
DA Miller,JD Unadkat,7
V Shankar,PJ Cummins,5
V Shankar,JD Unadkat,9
KS Williamson,Arshdeep Singh,1
KS Williamson,K Rabada,5
KS Williamson,SM Curran,10
KS Williamson,Harpreet Brar,8
KS Williamson,HV Patel,2
Shubman Gill,Sikandar Raza,7
B Sai Sudharsan,Sikandar Raza,15
V Shankar,Harpreet Brar,2
V Shankar,Arshdeep Singh,3
V Shankar,K Rabada,0
B Sai Sudharsan,M Siddharth,8
Shubman Gill,M Siddharth,7
Shubman Gill,Naveen-ul-Haq,3
B Sai Sudharsan,Naveen-ul-Haq,10
B Sai Sudharsan,MP Yadav,9
Shubman Gill,MP Yadav,4
B Sai Sudharsan,Yash Thakur,2
B Sai Sudharsan,KH Pandya,1
KS Williamson,KH Pandya,1
KS Williamson,Ravi Bishnoi,0
BR Sharath,Ravi Bishnoi,1
B Sai Sudharsan,Ravi Bishnoi,1
V Shankar,KH Pandya,5
BR Sharath,KH Pandya,1
DG Nalkande,KH Pandya,2
V Shankar,Ravi Bishnoi,3
DG Nalkande,Ravi Bishnoi,2
DG Nalkande,M Siddharth,8
V Shankar,M Siddharth,1
R Tewatia,Naveen-ul-Haq,12
R Tewatia,Yash Thakur,17
V Shankar,Yash Thakur,0
Rashid Khan,Yash Thakur,0
UT Yadav,Yash Thakur,0
UT Yadav,Naveen-ul-Haq,2
SH Johnson,Yash Thakur,0
Noor Ahmad,Yash Thakur,4
B Sai Sudharsan,Avesh Khan,11
Shubman Gill,KA Maharaj,13
B Sai Sudharsan,KA Maharaj,1
B Sai Sudharsan,R Ashwin,6
B Sai Sudharsan,YS Chahal,11
B Sai Sudharsan,KR Sen,0
MS Wade,KR Sen,2
V Shankar,KA Maharaj,2
V Shankar,YS Chahal,5
R Tewatia,R Ashwin,6
M Shahrukh Khan,YS Chahal,1
R Tewatia,YS Chahal,3
M Shahrukh Khan,R Ashwin,12
M Shahrukh Khan,Avesh Khan,1
Rashid Khan,Avesh Khan,17
Rashid Khan,KR Sen,7
R Tewatia,KR Sen,9
WP Saha,I Sharma,1
B Sai Sudharsan,I Sharma,0
WP Saha,Mukesh Kumar,2
DA Miller,I Sharma,2
R Tewatia,Mukesh Kumar,5
A Manohar,Mukesh Kumar,2
R Tewatia,Kuldeep Yadav,6
A Manohar,T Stubbs,4
M Shahrukh Khan,T Stubbs,0
Rashid Khan,T Stubbs,6
R Tewatia,AR Patel,1
Rashid Khan,AR Patel,13
Rashid Khan,Kuldeep Yadav,10
MM Sharma,AR Patel,1
MM Sharma,Kuldeep Yadav,0
Rashid Khan,KK Ahmed,2
MM Sharma,KK Ahmed,1
Noor Ahmad,AR Patel,1
Noor Ahmad,Kuldeep Yadav,0
Rashid Khan,Mukesh Kumar,16
SH Johnson,Mukesh Kumar,1
Noor Ahmad,Mukesh Kumar,0
Azmatullah Omarzai,LS Livingstone,3
Azmatullah Omarzai,Harpreet Brar,7
Azmatullah Omarzai,SM Curran,1
Azmatullah Omarzai,HV Patel,2
M Shahrukh Khan,HV Patel,1
R Tewatia,Harpreet Brar,13
M Shahrukh Khan,K Rabada,7
Rashid Khan,HV Patel,3
B Sai Sudharsan,Rasikh Salam,6
WP Saha,Rasikh Salam,5
WP Saha,AR Patel,4
B Sai Sudharsan,AR Patel,22
WP Saha,Kuldeep Yadav,2
Azmatullah Omarzai,Kuldeep Yadav,1
Azmatullah Omarzai,AR Patel,0
DA Miller,Rasikh Salam,7
M Shahrukh Khan,Rasikh Salam,6
M Shahrukh Khan,Mukesh Kumar,2
R Tewatia,Rasikh Salam,2
R Sai Kishore,Mukesh Kumar,1
Rashid Khan,Rasikh Salam,5
R Sai Kishore,Rasikh Salam,12
B Sai Sudharsan,Mohammed Siraj,16
B Sai Sudharsan,Swapnil Singh,11
Shubman Gill,Yash Dayal,3
B Sai Sudharsan,Yash Dayal,16
B Sai Sudharsan,GJ Maxwell,10
M Shahrukh Khan,GJ Maxwell,14
B Sai Sudharsan,KV Sharma,20
M Shahrukh Khan,KV Sharma,23
M Shahrukh Khan,C Green,31
M Shahrukh Khan,Swapnil Singh,4
M Shahrukh Khan,Mohammed Siraj,4
DA Miller,Yash Dayal,17
M Shahrukh Khan,Yash Dayal,9
M Shahrukh Khan,Vijaykumar Vyshak,10
DA Miller,KV Sharma,13
R Tewatia,KV Sharma,23
R Tewatia,Vijaykumar Vyshak,4
Rashid Khan,Vijaykumar Vyshak,7
R Tewatia,C Green,2
Rashid Khan,Mohammed Siraj,8
R Tewatia,Yash Dayal,5
Rashid Khan,Yash Dayal,0
V Shankar,Yash Dayal,1
MJ Suthar,Mohammed Siraj,1
MJ Suthar,Vijaykumar Vyshak,0
MM Sharma,Vijaykumar Vyshak,0
B Sai Sudharsan,Simarjeet Singh,24
Shubman Gill,DJ Mitchell,32
M Shahrukh Khan,SN Thakur,1
M Shahrukh Khan,Simarjeet Singh,1
