bowler,batsman,times
Yash Dayal,MS Dhoni,1
B Lee,PA Patel,1
IK Pathan,ML Hayden,1
JR Hopes,MS Dhoni,1
WA Mota,SK Raina,2
IK Pathan,JDP Oram,2
A Nehra,PA Patel,1
DS Kulkarni,MEK Hussey,1
MA Khote,SK Raina,1
A Nehra,ML Hayden,2
MA Khote,MS Dhoni,1
AB Agarkar,PA Patel,1
Z Khan,ML Hayden,1
P Kumar,PA Patel,2
P Kumar,SK Raina,4
Z Khan,MS Dhoni,7
Z Khan,MEK Hussey,4
VY Mahesh,SP Fleming,1
V Sehwag,PA Patel,1
GD McGrath,S Vidyut,1
Mohammad Asif,MS Dhoni,1
PJ Sangwan,SK Raina,3
R Bhatia,JA Morkel,1
Sohail Tanvir,PA Patel,1
Sohail Tanvir,SP Fleming,1
Sohail Tanvir,S Vidyut,1
SR Watson,S Badrinath,1
SK Warne,MS Dhoni,1
MM Patel,SK Raina,2
MM Patel,Joginder Sharma,1
Sohail Tanvir,JA Morkel,2
Sohail Tanvir,M Muralitharan,1
Sohail Tanvir,M Ntini,1
DP Vijaykumar,PA Patel,1
RP Singh,S Anirudha,1
SB Styris,SP Fleming,1
Shahid Afridi,S Badrinath,1
SB Bangar,SK Raina,1
PP Ojha,MS Dhoni,7
RP Singh,Joginder Sharma,1
PJ Sangwan,S Vidyut,1
Mohammad Asif,SP Fleming,1
GD McGrath,JA Morkel,1
VY Mahesh,MS Dhoni,1
VY Mahesh,CK Kapugedera,1
S Sreesanth,S Vidyut,1
S Sreesanth,SP Fleming,1
PP Chawla,SK Raina,4
VRV Singh,S Badrinath,1
SM Pollock,S Vidyut,1
DJ Bravo,SK Raina,4
DS Kulkarni,SP Fleming,1
DS Kulkarni,CK Kapugedera,1
DJ Bravo,S Badrinath,1
DS Kulkarni,JA Morkel,1
A Kumble,PA Patel,1
R Vinay Kumar,MS Dhoni,1
A Kumble,SP Fleming,1
A Kumble,S Badrinath,2
DW Steyn,JA Morkel,2
DW Steyn,S Vidyut,1
P Kumar,MS Gony,1
DW Steyn,L Balaji,1
YK Pathan,SP Fleming,1
SK Warne,SK Raina,3
SK Warne,PA Patel,1
Sohail Tanvir,MS Dhoni,1
MM Patel,S Badrinath,1
Sohail Tanvir,A Mukund,1
DP Vijaykumar,SP Fleming,1
PM Sarvesh Kumar,PA Patel,1
IK Pathan,S Vidyut,1
YK Pathan,S Vidyut,1
YK Pathan,PA Patel,2
YK Pathan,JA Morkel,1
SR Watson,SK Raina,1
Sohail Tanvir,CK Kapugedera,1
SL Malinga,PA Patel,2
Harbhajan Singh,A Flintoff,1
ST Jayasuriya,ML Hayden,1
ST Jayasuriya,JDP Oram,1
SL Malinga,S Badrinath,1
SL Malinga,MS Dhoni,2
KP Pietersen,PA Patel,1
KP Pietersen,ML Hayden,1
P Kumar,MS Dhoni,1
PJ Sangwan,PA Patel,1
PJ Sangwan,ML Hayden,2
DL Vettori,MS Dhoni,1
A Nehra,A Flintoff,1
DL Vettori,S Badrinath,2
DL Vettori,MS Gony,1
DP Nannes,Joginder Sharma,1
DP Nannes,L Balaji,1
FH Edwards,PA Patel,1
RG Sharma,SK Raina,1
PP Ojha,ML Hayden,1
Y Venugopal Rao,JA Morkel,1
RP Singh,S Badrinath,3
YK Pathan,ML Hayden,2
SK Warne,S Badrinath,1
MM Patel,JDP Oram,1
A Nehra,M Vijay,3
R Bhatia,SK Raina,2
R Bhatia,S Badrinath,1
A Nehra,JA Morkel,1
DP Nannes,JDP Oram,1
DP Nannes,MS Dhoni,2
A Nehra,L Balaji,1
DP Nannes,SB Jakati,1
DP Nannes,M Muralitharan,1
Shoaib Ahmed,ML Hayden,1
TL Suman,M Vijay,1
RP Singh,SK Raina,1
IK Pathan,S Badrinath,2
S Sreesanth,ML Hayden,1
SK Trivedi,M Vijay,2
A Singh,SK Raina,2
SK Warne,ML Hayden,1
JH Kallis,M Vijay,1
JH Kallis,SK Raina,2
RE van der Merwe,MS Dhoni,2
A Kumble,ML Hayden,2
P Kumar,JA Morkel,1
R Vinay Kumar,JDP Oram,2
R Vinay Kumar,L Balaji,1
P Kumar,M Muralitharan,1
P Kumar,S Tyagi,1
DS Kulkarni,S Badrinath,1
M Kartik,PA Patel,1
DJ Hussey,GJ Bailey,1
