bowler,batsman,times
DS Kulkarni,SM Katich,1
DJ Bravo,IK Pathan,1
DJ Bravo,S Sohal,1
JP Duminy,WA Mota,1
AM Rahane,LA Pomersbach,1
SL Malinga,B Lee,1
MF Maharoof,SM Katich,1
A Nehra,S Sohal,1
MF Maharoof,LA Pomersbach,1
PJ Sangwan,Yuvraj Singh,1
RP Singh,S Sohal,1
A Symonds,LA Pomersbach,1
A Symonds,SM Katich,1
Y Venugopal Rao,Yuvraj Singh,1
RP Singh,KC Sangakkara,1
RP Singh,IK Pathan,1
T Thushara,S Sohal,1
M Muralitharan,SM Katich,1
M Muralitharan,LA Pomersbach,1
SK Raina,Yuvraj Singh,2
R Ashwin,KC Sangakkara,2
R Ashwin,WA Mota,1
SK Raina,B Lee,1
T Thushara,IK Pathan,1
MF Maharoof,MS Bisla,1
MF Maharoof,KC Sangakkara,1
MF Maharoof,Yuvraj Singh,1
PJ Sangwan,DPMD Jayawardene,1
TM Dilshan,IK Pathan,1
A Mishra,M Kaif,1
VY Mahesh,RS Bopara,1
DP Nannes,RR Powar,1
DP Nannes,PP Chawla,1
JH Kallis,MS Bisla,1
DW Steyn,Yuvraj Singh,1
P Kumar,RS Bopara,1
WPUJC Vaas,MS Bisla,1
WPUJC Vaas,KC Sangakkara,1
WPUJC Vaas,Yuvraj Singh,1
A Symonds,DPMD Jayawardene,1
PP Ojha,AB Barath,1
RG Sharma,RS Bopara,1
RP Singh,PP Chawla,1
Jaskaran Singh,IK Pathan,1
JA Morkel,RS Bopara,1
M Muralitharan,M Kaif,1
JA Morkel,MS Bisla,1
JA Morkel,Yuvraj Singh,1
L Balaji,J Theron,1
SW Tait,KC Sangakkara,1
